# Simulation 11 (Data loaded from a file)
# 1547 data points written for 9 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (32.7 m/s)
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Air temperature (°C),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-2.99e-4,-0.018,-1.821,0,0,0,9.475,915.5
0.02,0.002,0.141,14.124,0,0,0,9.475,915.5
0.03,0.013,0.442,30.078,0,0,0,9.475,915.5
0.04,0.033,0.902,46.043,0,0,0,9.475,915.5
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.072,1.522,62.018,0,0,0,9.475,915.5
0.06,0.138,2.302,78.003,0,0,0,9.475,915.5
0.07,0.226,3.242,93.997,0,0,0,9.475,915.5
0.08,0.351,4.342,110,0,0,0,9.474,915.5
0.09,0.515,5.552,121.057,0,0,0,9.474,915.5
0.1,0.715,6.77,121.832,0,0,0,9.474,915.5
0.11,0.958,7.992,122.295,0,0,0,9.473,915.5
0.12,1.24,9.22,122.759,0,0,0,9.473,915.5
0.13,1.565,10.451,123.223,0,0,0,9.472,915.5
0.14,1.926,11.688,123.687,0,0,0,9.471,915.4
0.15,2.329,12.929,124.152,0,0,0,9.47,915.4
0.16,2.776,14.175,124.617,0,0,0,9.47,915.4
0.17,3.261,15.425,125.082,0,0,0,9.469,915.4
0.18,3.786,16.68,125.547,0,0,0,9.467,915.4
0.19,4.354,17.94,126.013,0,0,0,9.466,915.4
0.2,4.964,19.204,126.479,0,0,0,9.465,915.3
0.21,5.617,20.473,126.945,0,0,0,9.464,915.3
0.22,6.309,21.747,127.412,0,0,0,9.463,915.3
0.23,7.044,23.025,127.879,0,0,0,9.461,915.3
0.24,7.818,24.308,128.346,0,0,0,9.46,915.2
0.25,8.638,25.596,128.812,0,0,0,9.458,915.2
0.26,9.498,26.887,129.126,0,0,0,9.456,915.2
0.27,10.4,28.18,129.333,0,0,0,9.454,915.2
# Event LAUNCHROD occurred at t=0.28 seconds
0.28,11.348,29.475,129.541,0,0,0,9.453,915.1
0.295,12.844,31.421,129.821,0,1.592e-4,2.435e-8,9.45,915.1
0.318,15.272,34.349,130.241,0,4.775e-4,3.185e-8,9.445,915
0.351,19.321,38.761,130.87,0,9.549e-4,4.851e-8,9.437,914.8
0.401,26.217,45.34,131.803,0,0.002,-8.827e-8,9.423,914.6
0.451,34.199,51.967,132.764,0,0.003,-1.84e-7,9.407,914.3
0.501,43.271,58.633,133.525,0,0.004,-2.242e-7,9.389,914
0.551,53.438,65.337,134.267,0,0.006,-1.381e-7,9.369,913.7
0.601,64.708,72.076,134.986,0,0.008,2.593e-7,9.347,913.3
0.651,77.087,78.842,135.501,0,0.009,4.883e-7,9.322,912.9
0.701,90.577,85.63,135.949,0,0.011,-4.404e-7,9.296,912.4
0.751,105.184,92.44,136.385,0,0.012,2.87e-7,9.267,911.9
0.801,120.906,99.271,136.797,0,0.014,-1.551e-7,9.235,911.4
0.851,137.753,106.122,137.184,0,0.014,-4.477e-7,9.202,910.8
0.901,155.725,112.992,137.555,0,0.015,-4.813e-6,9.166,910.2
0.951,174.826,119.88,137.91,0,-0.015,-5.55e-6,9.129,909.6
1.001,195.056,126.785,138.247,0,-0.014,-2.301e-6,9.089,908.9
1.051,216.421,133.707,138.567,0,-0.012,-3.715e-7,9.046,908.1
1.101,238.924,140.645,138.883,0,-0.01,-1.163e-6,9.002,907.4
1.151,262.566,147.6,139.225,0,-0.007,1.511e-6,8.955,906.6
1.201,287.352,154.573,139.578,0,-0.003,-4.039e-8,8.906,905.7
1.251,313.281,161.563,139.932,0,3.183e-4,-3.084e-7,8.854,904.8
1.301,340.358,168.568,140.203,0,0.004,2.885e-6,8.801,903.9
1.351,368.586,175.581,140.378,0,0.007,2.252e-6,8.745,903
1.401,397.963,182.602,140.545,-5.887e-9,0.009,-3.498e-8,8.687,902
1.451,428.494,189.632,140.688,0,0.011,-4.093e-6,8.626,900.9
1.501,460.18,196.665,140.768,-1.053e-8,-0.01,2.788e-6,8.563,899.8
1.551,493.018,203.702,140.816,0,-0.008,-5.075e-6,8.498,898.7
1.601,527.011,210.741,140.831,0,-0.005,1.646e-6,8.431,897.6
1.651,562.159,217.779,140.818,0,1.592e-4,-2.9e-6,8.361,896.5
1.701,598.461,224.817,140.768,0,0.005,4.805e-6,8.289,895.3
1.751,635.915,231.85,140.674,5.058e-9,0.009,4.851e-6,8.215,894.1
1.801,674.524,238.875,140.484,0,-0.01,5.118e-5,8.139,892.8
1.851,714.285,245.886,140.184,5.932e-9,-0.007,7.697e-7,8.06,891.5
1.901,755.197,252.882,139.866,-9.618e-9,-0.003,9.645e-6,7.979,890.2
1.951,797.251,259.859,139.503,0,0.003,9.728e-6,7.895,888.9
2.001,840.449,266.81,138.966,-9.662e-9,0.007,1.585e-5,7.81,887.5
2.051,884.787,273.733,138.373,0,0.009,1.3e-4,7.722,886
